algorithm,display_name,family,runs,success_rate,mean_path_cost,std_path_cost,mean_runtime_ms,std_runtime_ms,mean_work_units,mean_memory_units,std_memory_units,theoretically_complete,theoretically_optimal,optimality_scope
bfs,Breadth-First Search,uninformed,3,1.0,68.33333333333333,16.772994167212165,7.792999997036532,1.422572950091358,1223.6666666666667,51.0,17.776388834631177,True,False,Optimal in number of moves; not guaranteed minimum weighted terrain cost
dfs,Depth-First Search,uninformed,3,1.0,340.3333333333333,191.5263254316057,6.99316665607815,2.003794745700216,1019.0,287.0,32.2335229225724,True,False,Returns the first solution encountered
ucs,Uniform-Cost Search,uninformed,3,1.0,59.0,18.520259177452136,8.52880000214403,1.6918741838628275,1152.6666666666667,57.333333333333336,22.233608194203057,True,True,Minimum total terrain cost because every edge cost is positive
ids,Iterative Deepening Search,uninformed,3,1.0,68.33333333333333,16.772994167212165,790.2825333391471,472.7840943176711,132846.33333333334,55.0,11.135528725660043,True,False,"Optimal in depth (moves), not weighted terrain cost"
greedy_manhattan,Greedy Best-First (Manhattan),informed,3,1.0,76.0,20.074859899884732,0.45420000484834117,0.13815744335985325,57.0,57.666666666666664,11.846237095944574,True,False,"Complete on this finite graph with a closed set, but not cost-optimal"
greedy_euclidean,Greedy Best-First (Euclidean),informed,3,1.0,68.66666666666667,13.650396819628847,0.37880000309087336,0.11568444780294874,49.333333333333336,54.666666666666664,14.011899704655802,True,False,"Complete on this finite graph with a closed set, but not cost-optimal"
astar_manhattan,A* (Manhattan),informed,3,1.0,59.0,18.520259177452136,2.4199333274737,1.9364168198196403,308.0,71.33333333333333,18.475208614068023,True,True,"Minimum total terrain cost with either provided admissible, consistent heuristic"
astar_euclidean,A* (Euclidean),informed,3,1.0,59.0,18.520259177452136,4.066533331448833,2.2623146968363668,516.3333333333334,77.33333333333333,12.342339054382412,True,True,"Minimum total terrain cost with either provided admissible, consistent heuristic"
hill_climbing,Hill Climbing,local,3,1.0,82.66666666666667,40.10403138505322,1789.4478333376658,864.188966790303,2406.0,381.3333333333333,73.9008344562721,False,False,May stop at a local optimum; random restarts improve robustness
simulated_annealing,Simulated Annealing,local,3,1.0,82.66666666666667,33.291640592396966,2785.201466661723,1163.4805726982927,3204.0,381.3333333333333,73.9008344562721,False,False,Probabilistically escapes local optima; finite cooling has no optimality guarantee
genetic_algorithm,Genetic Algorithm,local,3,1.0,84.0,42.579337712087536,4146.193566673901,1553.7169623372065,8884.0,12202.666666666666,2364.826702600707,False,False,Population search can discover high-quality paths but has no finite optimality guarantee
